latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-1.41731,29.18574,307.71,1.16,1.07,2025-03-11,0043,A,25,6.1NRT,273.57,11.38,N
-1.41873,29.1953,308.71,1.16,1.07,2025-03-11,0043,A,8,6.1NRT,274.68,11.58,N
-1.42021,29.20524,335.25,1.16,1.07,2025-03-11,0043,A,91,6.1NRT,275.37,44.12,N
-1.42536,29.17539,333.56,1.16,1.07,2025-03-11,0043,A,100,6.1NRT,274.57,42.97,N
35.6798,43.88643,303.96,2.34,1.48,2025-03-11,0035,A,58,6.1NRT,279.82,32.57,N
52.53697,39.62907,300.05,1.05,1.02,2025-03-11,0028,A,13,6.1NRT,271.02,9.22,N
-29.2071,-57.44188,307.56,1.89,1.34,2025-03-11,0111,T,72,6.1NRT,288.01,23.69,N
-29.20884,-57.46106,307.17,1.89,1.34,2025-03-11,0111,T,71,6.1NRT,288.42,23.25,N
-29.21382,-57.44746,305.28,1.89,1.34,2025-03-11,0111,T,51,6.1NRT,287.63,18.59,N
-29.20184,-57.44892,309.29,1.89,1.34,2025-03-11,0111,T,77,6.1NRT,288.14,25.63,N
-28.82057,-56.94115,317.54,1.72,1.29,2025-03-11,0111,T,95,6.1NRT,289.38,36.9,N
-28.80908,-56.94262,305.92,1.72,1.29,2025-03-11,0111,T,66,6.1NRT,289.38,18.04,N
-26.88609,-54.87901,304.86,1.22,1.1,2025-03-11,0111,T,62,6.1NRT,290.77,8.04,N
-26.47898,-56.64574,312.43,1.53,1.22,2025-03-11,0111,T,85,6.1NRT,290.86,21.34,N
-26.20331,-54.37325,313.23,1.13,1.06,2025-03-11,0111,T,87,6.1NRT,291.36,13.42,N
-26.2047,-54.38446,303.68,1.14,1.06,2025-03-11,0111,T,55,6.1NRT,290.86,5.69,N
-26.4681,-56.64717,319.74,1.53,1.22,2025-03-11,0111,T,99,6.1NRT,291.23,33.1,N
-25.96367,-52.59585,301.21,1.01,1,2025-03-11,0111,T,39,6.1NRT,291,3.62,N
-25.96502,-52.60577,327.78,1.01,1,2025-03-11,0111,T,100,6.1NRT,291.38,25.99,N
-26.19386,-54.37466,301.96,1.13,1.06,2025-03-11,0111,T,32,6.1NRT,290.97,4.7,N
-26.17203,-56.64387,300.51,1.52,1.22,2025-03-11,0111,T,29,6.1NRT,289.23,7.81,N
-26.17365,-56.65884,307.8,1.52,1.22,2025-03-11,0111,T,73,6.1NRT,289.43,15.83,N
-25.92361,-57.98868,300.28,1.86,1.33,2025-03-11,0113,T,24,6.1NRT,290.18,9.7,N
-25.60706,-57.32888,315.81,1.66,1.27,2025-03-11,0113,T,92,6.1NRT,290.6,28.7,N
-25.59578,-57.3303,316.86,1.66,1.27,2025-03-11,0113,T,94,6.1NRT,290.8,30.33,N
-25.56421,-57.67966,310.71,1.75,1.3,2025-03-11,0113,T,81,6.1NRT,290.63,21.54,N
-25.55264,-57.68109,337.11,1.75,1.3,2025-03-11,0113,T,100,6.1NRT,291.32,87.22,N
-25.427,-56.80607,301.43,1.52,1.22,2025-03-11,0113,T,41,6.1NRT,290.46,6.33,N
-25.23172,-56.81981,301.19,1.51,1.21,2025-03-11,0113,T,33,6.1NRT,290.91,5.64,N
-25.234,-57.77971,302.97,1.76,1.3,2025-03-11,0113,T,52,6.1NRT,291.21,8.77,N
-25.11265,-56.76725,305.31,1.5,1.21,2025-03-11,0113,T,64,6.1NRT,290.16,11.18,N
-25.10189,-56.76868,300.32,1.5,1.21,2025-03-11,0113,T,23,6.1NRT,290,5.64,N
-25.02807,-56.69006,304.61,1.48,1.2,2025-03-11,0113,T,61,6.1NRT,291.54,8.88,N
-25.02436,-56.69637,308.02,1.48,1.2,2025-03-11,0113,T,73,6.1NRT,291.26,13.26,N
-25.08218,-58.55048,301.56,1.99,1.38,2025-03-11,0113,T,42,6.1NRT,291.19,8.83,N
-25.08408,-58.56993,303.5,2,1.38,2025-03-11,0113,T,55,6.1NRT,290.83,12.07,N
-24.73506,-56.75321,302.34,1.48,1.2,2025-03-11,0113,T,48,6.1NRT,281.91,8.94,N
-24.73667,-56.76762,309.57,1.48,1.2,2025-03-11,0113,T,78,6.1NRT,287.65,17.32,N
-21.61712,-48.481,301.58,1.52,1.22,2025-03-11,0113,T,15,6.1NRT,285.53,9.01,N
-20.26347,-46.34644,302.06,2.3,1.47,2025-03-11,0113,T,28,6.1NRT,279.23,24.56,N
6.94194,-63.34232,306.44,1.51,1.21,2025-03-11,0122,T,68,6.1NRT,292.06,11.84,N
6.94566,-63.34863,304.08,1.51,1.21,2025-03-11,0122,T,58,6.1NRT,292.13,9.21,N
